"WATERSHED","Burn_Status","R2","n","f","p"
"WS 1","Burned",0.731729881023161,1218,7.80573742231152,0.00528988813406762
"WS 2","Burned",0.749142265365533,1486,0.161391176067527,0.68793679695079
"WS 3","Unburned",0.746352875709367,1520,1.19643632387721,0.274208759424032
"WS 8","Unburned",0.784200550866099,1933,19.1310099051603,1.28552178927783e-05
"WS 9","Burned",0.630042860437252,489,14.9109860109763,0.000127949432429552
"WS 10","Unburned",0.709109361368317,928,0.18539091150739,0.666881036075881
"MC","Burned",0.841517873559644,1918,24.1632343546696,9.60460260407227e-07
"LO","Burned",0.815083283492546,1537,31.4880075317163,2.37728516838719e-08
