month,2021,2022,2023,2024,2025
1,99.2297803773201,124.64517953474885,57.255014635204574,90.26033058044628,133.8934278467194
2,-42.264777709406964,1.734241596800226,-39.103963156680265,-23.095699369279345,-42.19302842089074
3,4.879484627874089,-8.880182964088073,-30.967649574887833,-4.25049319995112,-19.76682553815535
4,15.333197742739497,-30.039894303903687,-31.157992097005344,-18.134152365087346,2.4298157259262085
5,7.878259666042503,-14.087066176030577,21.510628275629454,13.101748818792606,13.632101160095639
6,18.507226683423575,-11.743168983313549,16.58437164825528,11.22918538486746,26.306856941424574
7,1.402925699768756,1.137230811749081,9.681365438759732,9.448135020304717,5.3359984020217555
8,1.4808852543672366,-0.8658104648206408,1.4528477975074605,-5.683916847505807,-8.919656178982462
9,23.77846852303312,1.7212985458938828,18.070990400848387,12.844274655397742,1.604901991894076
10,-25.271235403491545,5.526524908107463,-6.53693716053711,-0.17049384692082925,-12.79303189250287
11,-14.05366619383947,-3.7858148152930067,-5.910216940986335,-35.172993881530054,7.241818829097833
12,-33.12863615905635,-35.83489111196402,-8.428571823028982,16.424187032838987,24.958236806282272
