"Watershed","diff_2021","diff_2022","diff_2023","diff_2024","diff_2025","mean"
"WS 1",NA,73.1332261731301,69.6627914944662,86.2619872511973,59.1353603617076,72.0483413201253
"WS 2",NA,17.6678141021009,69.8291867656425,52.771677422021,-11.7972320796194,32.1178615525363
"WS 9",NA,246.175501209852,NA,248.26484086218,173.628607148895,222.689649740309
"MC",NA,NA,NA,44.8584607347178,41.9342275188033,43.3963441267605
