month,2021,2022,2023,2024,2025
1,70.40411248440434,93.54536234154031,57.62882954795528,68.05882385139026,128.2161731496054
2,-38.24051630312318,4.404185267171366,-26.264763759366154,-18.64389860204316,-35.549712337989526
3,5.3677875685698355,-13.159013244019818,-30.16359670385973,-4.950547715779248,-21.099441824402437
4,7.971241375590112,-37.90333217602209,-38.81720388798956,-19.87975808193032,-3.580633780779021
5,0.11387877769775066,-21.203135004263576,13.13929707605244,4.086496263467585,7.595893339637384
6,16.08909816014904,-12.95518583289071,15.435460693224421,11.951242291590153,23.148872517272224
7,-0.621395492835752,-3.641715923055212,5.64486802010276,3.9063417738847708,3.6891966110190015
8,-4.780212134074057,-0.8856308139277921,-2.5638104911962825,-3.6763847948785253,-11.302265487549416
9,2.330658585423852,-5.059465991003142,2.834943349221617,5.3246633136164085,-5.191651062815131
10,-17.263879293720674,5.228880330061092,3.484146808625939,6.80972768352323,-0.4155193118355039
11,-26.378520119355986,1.3506279691432266,2.2509976908381613,-32.79288644807387,12.217967430187866
12,-50.488515342497834,-42.58610476959206,-19.867916514561045,-5.013350270572972,4.346342679690282
