Watershed,Pre-fire Mean,Pre-fire StDev,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Normal Range Low,Normal Range High,Deviation from Mean 2000,Deviation from Mean 2001,Deviation from Mean 2002,Deviation from Mean 2003,Deviation from Mean 2004,Deviation from Mean 2005,Deviation from Mean 2006,Deviation from Mean 2007,Deviation from Mean 2008,Deviation from Mean 2009,Deviation from Mean 2010,Deviation from Mean 2011,Deviation from Mean 2012,Deviation from Mean 2013,Deviation from Mean 2014,Deviation from Mean 2015,Deviation from Mean 2016,Deviation from Mean 2017,Deviation from Mean 2018,Deviation from Mean 2019,Deviation from Mean 2020,Deviation from Mean 2021,Deviation from Mean 2022,Deviation from Mean 2023,Deviation from Mean 2024,Deviation from Mean 2025,Deviation from Mean 2000 scaled stdev,Deviation from Mean 2001 scaled stdev,Deviation from Mean 2002 scaled stdev,Deviation from Mean 2003 scaled stdev,Deviation from Mean 2004 scaled stdev,Deviation from Mean 2005 scaled stdev,Deviation from Mean 2006 scaled stdev,Deviation from Mean 2007 scaled stdev,Deviation from Mean 2008 scaled stdev,Deviation from Mean 2009 scaled stdev,Deviation from Mean 2010 scaled stdev,Deviation from Mean 2011 scaled stdev,Deviation from Mean 2012 scaled stdev,Deviation from Mean 2013 scaled stdev,Deviation from Mean 2014 scaled stdev,Deviation from Mean 2015 scaled stdev,Deviation from Mean 2016 scaled stdev,Deviation from Mean 2017 scaled stdev,Deviation from Mean 2018 scaled stdev,Deviation from Mean 2019 scaled stdev,Deviation from Mean 2020 scaled stdev,Deviation from Mean 2021 scaled stdev,Deviation from Mean 2022 scaled stdev,Deviation from Mean 2023 scaled stdev,Deviation from Mean 2024 scaled stdev,Deviation from Mean 2025 scaled stdev,Outlier 2021,Outlier 2022,Outlier 2023,Outlier 2024,Outlier 2025
GSLOOK,4.639319332933334e-06,8.946307161605817e-07,3.569688363400001e-06,3.6079545480000007e-06,4.225680099400001e-06,4.154614328e-06,5.466597800000001e-06,5.466597800000001e-06,4.0070161874000014e-06,4.2639462840000006e-06,6.778581272000001e-06,4.482610196000001e-06,5.903925624000001e-06,5.903925624000001e-06,5.3353994528000005e-06,5.029269976000001e-06,4.373278240000001e-06,3.170626724000001e-06,3.7938188732000003e-06,4.553675967400001e-06,3.4986225920000005e-06,3.788352275400001e-06,5.575929756000001e-06,3.569688363400001e-06,5.029269976000001e-06,4.335012055400001e-06,5.4337982132e-06,4.899414290291573e-06,3.744688616772752e-06,5.533950049093916e-06,-1.069630969533333e-06,-1.031364784933333e-06,-4.1363923353333267e-07,-4.847050049333335e-07,8.27278467066667e-07,8.27278467066667e-07,-6.323031455333323e-07,-3.753730489333332e-07,2.1392619390666675e-06,-1.567091369333327e-07,1.2646062910666672e-06,1.2646062910666672e-06,6.960801198666667e-07,3.8995064306666686e-07,-2.6604109293333296e-07,-1.4686926089333328e-06,-8.455004597333335e-07,-8.564336553333276e-08,-1.1406967409333333e-06,-8.509670575333328e-07,9.366104230666673e-07,-1.069630969533333e-06,3.8995064306666686e-07,-3.043072775333324e-07,7.944788802666665e-07,2.6009495735823954e-07,-1.19561172024563,-1.1528385581925495,-0.46235751362139293,-0.5417933860056862,0.9247150272427878,0.9247150272427878,-0.7067755824961381,-0.4195843515683131,2.391223440491262,-0.17516628269356696,1.4135511649922792,1.4135511649922792,0.7780641859179401,0.43587888949329645,-0.29737531713094,-1.6416746959420403,-0.9450831996490163,-0.0957304103092747,-1.2750475926299227,-0.9511936513708843,1.046924061680161,-1.19561172024563,0.43587888949329645,-0.34014847918401986,0.8880523169115754,0.29072884784737685,Low,Normal,Normal,Normal,Normal
GSWSMC,4.339544776075834e-06,5.931356330604744e-07,4.121814741200001e-06,3.640754134800001e-06,4.536182854440001e-06,3.483862777940001e-06,5.17249483836e-06,4.238253274340001e-06,4.441610712500001e-06,3.5336088179200006e-06,5.542583509420002e-06,4.0343491764e-06,5.703301484740001e-06,4.13985451394e-06,4.192880512600001e-06,4.615995182320001e-06,4.2666795829000005e-06,3.6188877436000008e-06,4.045282372000001e-06,4.325718839140001e-06,3.676833680280001e-06,4.008109506960001e-06,4.515409782800001e-06,4.121814741200001e-06,4.894245010340001e-06,4.2125602646800006e-06,6.0394972494400015e-06,5.233725793103448e-06,3.74640914301536e-06,4.9326804091363086e-06,-2.177300348758337e-07,-6.987906412758335e-07,1.966380783641668e-07,-8.556819981358334e-07,8.329500622841658e-07,-1.0129150173583337e-07,1.0206593642416651e-07,-8.059359581558337e-07,1.2030387333441672e-06,-3.0519559967583475e-07,1.3637567086641666e-06,-1.9969026213583402e-07,-1.4666426347583375e-07,2.7645040624416625e-07,-7.28651931758339e-08,-7.206570324758336e-07,-2.9426240407583346e-07,-1.3825936935833169e-08,-6.627110957958333e-07,-3.314352691158333e-07,1.7586500672416636e-07,-2.177300348758337e-07,5.547002342641665e-07,-1.269845113958338e-07,1.699952473364167e-06,8.94181017027614e-07,-0.3670830460014439,-1.1781295918274175,0.33152295597138426,-1.4426413630229336,1.4043163415866478,-0.17077291615947474,0.17207857821241396,-1.358771777034112,2.028269195591405,-0.5145460543334409,2.299232473401445,-0.3366688005329705,-0.2472693517316979,0.466082951074329,-0.12284743845157718,-1.2149953439104164,-0.49611317829193935,-0.023309907827479177,-1.117301100890469,-0.5587849568330371,0.29650049149253466,-0.3670830460014439,0.9351996463304891,-0.21409017485699905,2.866043411677553,1.5075489773119835,Normal,Normal,Normal,High,High
GSWS01,5.518140007828573e-07,2.503615154833921e-07,6.242854687600001e-07,3.6079545480000004e-07,1.7493112960000006e-07,1.3447830588000007e-07,9.730544084e-07,6.630983131400001e-07,3.498622592000001e-07,3.8976842314000017e-07,7.150309922400001e-07,6.046057166800002e-07,1.0818397046200002e-06,7.866434234200003e-07,7.981232788000002e-07,7.286974867400002e-07,5.685261712e-07,2.7332989000000005e-07,3.0284951812000004e-07,4.7723398794e-07,3.279958680000001e-07,4.919938020000001e-07,7.653236920000003e-07,6.242854687600001e-07,1.3557162544000002e-06,8.965220392000002e-07,1.04248020046e-06,7.433160000000001e-07,3.014524852994652e-07,8.021755162662494e-07,7.247146797714281e-08,-1.9101854598285726e-07,-3.768828711828572e-07,-4.1733569490285724e-07,4.212404076171426e-07,1.1128431235714281e-07,-2.0195174158285718e-07,-1.6204557764285713e-07,1.6321699145714283e-07,5.2791715897142846e-08,5.300257038371429e-07,2.3482942263714301e-07,2.4630927801714285e-07,1.7688348595714286e-07,1.671217041714274e-08,-2.7848411078285725e-07,-2.4896448266285726e-07,-7.45800128428573e-08,-2.2381813278285718e-07,-5.982019878285722e-08,2.1350969121714299e-07,7.247146797714281e-08,8.039022536171429e-07,3.4470803841714287e-07,4.906661996771427e-07,1.9150199921714276e-07,0.2894672842877493,-0.7629708807843057,-1.5053546486774563,-1.6669322922777303,1.682528589922543,0.4444944828772014,-0.8066405141897849,-0.6472463522597847,0.6519252415532288,0.21086194415788645,2.1170414423070647,0.93796134035912,0.9838144554348728,0.7065122833100783,0.06675215391980384,-1.1123279480281414,-0.9944199378333468,-0.29788928501594975,-0.8939797810007438,-0.23893527991855218,0.8528055552184349,0.2894672842877493,3.210965759114325,1.376841156084188,1.959830762047338,0.7649019013461203,Normal,High,High,High,Normal
GSWS02,2.386430253880953e-06,5.550394341237698e-07,1.8914428388e-06,2.1057334725600005e-06,1.7821108828000003e-06,2.0297477631400005e-06,2.984762398800001e-06,2.766098486800001e-06,2.0516141543400006e-06,1.6722322670200003e-06,2.59335399632e-06,2.1423596778200005e-06,3.713459885540001e-06,2.7037792718800005e-06,2.8502840929200005e-06,2.9519628120000005e-06,2.1680526874800005e-06,1.7892174599400004e-06,1.6804321637200004e-06,2.5649276877600007e-06,1.7165117092000002e-06,1.9269757245e-06,2.8590306494000005e-06,1.8914428388e-06,3.436303377080001e-06,3.96109676588e-06,3.673553721600001e-06,1.9323643235185186e-06,1.831390819757183e-06,2.941469688004723e-06,-4.94987415080953e-07,-2.806967813209524e-07,-6.043193710809526e-07,-3.5668249074095236e-07,5.983321449190481e-07,3.79668232919048e-07,-3.348160995409523e-07,-7.141979868609526e-07,2.0692374243904727e-07,-2.440705760609524e-07,1.3270296316590481e-06,3.1734901799904757e-07,4.6385383903904765e-07,5.655325581190476e-07,-2.183775664009524e-07,-5.972127939409525e-07,-7.059980901609525e-07,1.784974338790478e-07,-6.699185446809527e-07,-4.5945452938095277e-07,4.726003955190476e-07,-4.94987415080953e-07,1.049873123199048e-06,1.5746665119990475e-06,1.287123467719048e-06,-4.540659303624343e-07,-0.8918058513488869,-0.5057240333996864,-1.0887863707107226,-0.6426254943561627,1.0779993422694798,0.6840383035458066,-0.6032293904837953,-1.2867517926693683,0.3728090829541037,-0.43973555941347114,2.39087450381612,0.5717594075095591,0.8357133034544201,1.018905186460928,-0.3934451373634396,-1.0759826369522032,-1.2719782537172304,0.32159414792002716,-1.206974682327825,-0.8277871825562897,0.8514717450033669,-0.8918058513488869,1.8915288872338643,2.8370353801706782,2.3189766142490496,-0.8180786849483218,Normal,High,High,High,Normal
GSWS03,2.2876410222095245e-06,5.218423456429381e-07,1.5667269294800004e-06,2.10628013234e-06,1.8001506555400004e-06,1.9570420124000003e-06,3.0842544787600004e-06,2.6021005528000005e-06,2.22654528394e-06,1.6689523083400003e-06,2.3375172192800002e-06,2.3539170126800005e-06,3.5970213524000007e-06,2.8754304428000007e-06,2.9191632252000004e-06,2.7365788586800005e-06,2.1931990373600007e-06,1.7088584722800003e-06,1.7241649461200003e-06,2.1352531006800004e-06,1.6574724529600005e-06,1.8367768608e-06,1.8958161170400003e-06,1.5667269294800004e-06,2.8535640516000007e-06,2.2303719024e-06,2.3069042716000003e-06,2.080303524752476e-06,1.7657986765665862e-06,2.8094833678524627e-06,-7.209140927295241e-07,-1.813608898695246e-07,-4.87490366669524e-07,-3.3059900980952417e-07,7.966134565504759e-07,3.1445953059047605e-07,-6.109573826952433e-08,-6.186887138695241e-07,4.987619707047578e-08,6.627599047047603e-08,1.3093803301904762e-06,5.877894205904763e-07,6.315222029904759e-07,4.4893783647047607e-07,-9.44419848495238e-08,-5.787825499295242e-07,-5.634760760895242e-07,-1.5238792152952406e-07,-6.30168569249524e-07,-4.5086416140952445e-07,-3.9182490516952414e-07,-7.209140927295241e-07,5.659230293904762e-07,-5.7269119809524386e-08,1.926324939047579e-08,-2.0733749745704847e-07,-1.381478714306557,-0.3475396187829068,-0.9341717297183106,-0.6335227728639159,1.5265404641875218,0.6025948894642592,-0.11707700377256863,-1.1855854915477702,0.09557713644151586,0.12700385667019876,2.5091492500043255,1.1263735599422997,1.2101781472187856,0.8602939953394549,-0.1809780015708885,-1.1091138056579763,-1.079782200111206,-0.2920190797122335,-1.2075841957078475,-0.863985387874254,-0.7508491950509968,-1.381478714306557,1.0844712663040563,-0.10974410238587617,0.03691392534797539,-0.39731826899098693,Low,High,Normal,Normal,Normal
GSWS08,7.777829794858336e-07,3.4653142391267106e-07,2.2959710760000006e-07,8.199896700000001e-07,5.280733474800002e-07,4.586475554200001e-07,1.5098743123600002e-06,1.0965995186800003e-06,9.3642820314e-07,5.898459026200002e-07,9.8508092356e-07,6.231921492000001e-07,1.5191675286200005e-06,1.1004261371400003e-06,9.347882238000002e-07,1.1911716606200002e-06,6.887913228000001e-07,4.701274108e-07,6.0897899492e-07,4.919938020000001e-07,2.9519628120000005e-07,5.133135334200001e-07,7.871900832000001e-07,2.2959710760000006e-07,8.484159785600001e-07,3.498622592000001e-07,6.3521866436e-07,2.3188882606438212e-07,4.3125155557316256e-07,1.1243144033985047e-06,-5.481858718858336e-07,4.2206690514166485e-08,-2.4970963200583343e-07,-3.191354240658335e-07,7.320913328741665e-07,3.188165391941667e-07,1.586452236541664e-07,-1.8793707686583343e-07,2.0729794407416638e-07,-1.5459083028583355e-07,7.413845491341669e-07,3.2264315765416667e-07,1.5700524431416654e-07,4.133886811341666e-07,-8.89916566858335e-08,-3.0765556868583364e-07,-1.688039845658336e-07,-2.8578917748583353e-07,-4.825866982858336e-07,-2.644694460658335e-07,9.407103714166515e-09,-5.481858718858336e-07,7.063299907416649e-08,-4.279207202858335e-07,-1.4256431512583358e-07,-5.458941534214515e-07,-1.5819225445597143,0.12179758487011827,-0.7205973680146319,-0.9209422350864735,2.1126261064816445,0.9200220158807626,0.4578090548410016,-0.5423377618798438,0.5982082136551267,-0.4461091249398259,2.139443923333782,0.9310646463492891,0.4530764989259191,1.1929327403172074,-0.25680688833651105,-0.8878143436808937,-0.48712460953721093,-0.8247135981464553,-1.3926203079563995,-0.7631903712503779,0.02714646656846101,-1.5819225445597143,0.20382855406488798,-1.2348684441203037,-0.41140371489588495,-1.5753092382150646,Low,Normal,Low,Normal,Low
GSWS09,5.724569153323811e-07,3.5025887599905097e-07,1.2075714540200004e-06,3.3892906360000004e-07,3.788352275400002e-07,4.766873281600002e-07,1.0900396013200003e-06,9.107351934800001e-07,4.3678116422000014e-07,4.0452823720000004e-07,6.964445597200001e-07,6.696582305000001e-07,1.4978477972000005e-06,9.719610888400003e-07,7.325241052000001e-07,7.396306823400002e-07,5.313533061600002e-07,9.457214194000006e-08,8.746556480000003e-08,5.455664604400002e-07,1.2737172874000004e-07,2.0718405662000014e-07,2.6567665308000005e-07,1.2075714540200004e-06,2.60920712994e-06,1.5115142917000006e-06,1.5459538578400004e-06,1.1114286163398693e-06,2.2219803933333017e-07,9.227157913314321e-07,6.351145386876193e-07,-2.335278517323811e-07,-1.9362168779238094e-07,-9.576958717238095e-08,5.175826859876191e-07,3.38278278147619e-07,-1.35675751112381e-07,-1.679286781323811e-07,1.2398764438761897e-07,9.720131516761893e-08,9.253908818676194e-07,3.9950417350761916e-07,1.6006718986761897e-07,1.6717376700761905e-07,-4.1103609172380926e-08,-4.778847733923811e-07,-4.849913505323811e-07,-2.6890454892380977e-08,-4.450851865923811e-07,-3.65272858712381e-07,-3.067802622523811e-07,6.351145386876193e-07,2.036750214607619e-06,9.390573763676195e-07,9.734969425076192e-07,5.389717010074882e-07,1.8132717889762775,-0.6667292900609144,-0.5527959491108102,-0.2734251541783639,1.4777146889177522,0.9657950199912579,-0.3873584951284678,-0.47944160630731913,0.3539885863961801,0.2775127821967952,2.642019789585937,1.1405968581612809,0.45699681246065743,0.47728631153396384,-0.1173520843837011,-1.3643759120430567,-1.384665411116363,-0.07677308623708892,-1.2707320701662592,-1.0428653882660512,-0.8758672035857624,1.8132717889762775,5.814985298511429,2.681038057034603,2.7793640910052395,1.538780992973176,High,High,High,High,High
GSWS10,7.601955026352382e-07,2.980989022392491e-07,1.8586432520000006e-07,7.396306823400002e-07,5.318999659400001e-07,6.521651175400002e-07,1.3600895326400001e-06,1.3551695946200002e-06,6.374053034800001e-07,4.881671835400001e-07,7.478305790400001e-07,6.958978999400002e-07,1.1878917019400003e-06,7.833634647400002e-07,7.401773421200001e-07,9.107351934800001e-07,6.259254481000002e-07,5.357265844000001e-07,5.466597800000001e-07,5.903925624000001e-07,3.826618460000002e-07,4.591942152000001e-07,6.0897899492e-07,1.8586432520000006e-07,9.5337465632e-07,2.476368803400001e-07,6.231921492000001e-07,5.829929411764705e-07,4.620966003959891e-07,1.0582944048744873e-06,-5.743311774352382e-07,-2.0564820295238027e-08,-2.2829553669523808e-07,-1.0803038509523802e-07,5.998940300047619e-07,5.949740919847619e-07,-1.227901991552381e-07,-2.720283190952381e-07,-1.2364923595238114e-08,-6.429760269523802e-08,4.2769619930476206e-07,2.316796210476197e-08,-2.001816051523811e-08,1.505396908447619e-07,-1.3427005453523804e-07,-2.2446891823523814e-07,-2.1353572263523811e-07,-1.6980294023523812e-07,-3.77533656635238e-07,-3.010012874352381e-07,-1.512165077152382e-07,-5.743311774352382e-07,1.9317915368476175e-07,-5.125586222952381e-07,-1.3700335343523815e-07,-1.772025614587677e-07,-1.926646401986042,-0.06898656835285175,-0.7658382334867238,-0.3623977957776398,2.012399326191739,1.9958949446490946,-0.4119109404055731,-0.9125438471991177,-0.041479265781778143,-0.2156921820652458,1.4347459721991878,0.0777190453595423,-0.06715274818144709,0.5049991452968898,-0.4504211640050763,-0.7530014922868894,-0.7163250888587909,-0.5696194751463968,-1.2664711402802682,-1.0097363162835788,-0.5072695893186295,-1.926646401986042,0.6480371186664735,-1.7194247226172852,-0.45959026486210136,-0.5944421805235228,Low,Normal,Low,Normal,Normal
