month,2021,2022,2023,2024,2025
1,94.13381523214923,134.296640055249,76.2295240801477,70.5282089695372,157.44653863281215
2,-39.53411271373014,5.8930679492393665,-24.201096584671806,-21.363560160361068,-35.830560258692536
3,7.923965868283002,-7.446096871807069,-31.33569437222878,4.4015615358679065,-21.13520215114097
4,12.774941892233782,-35.10492426355458,-34.77060022679531,-15.188097840009016,3.210479914834895
5,5.6139267556142975,-15.96722937623232,22.796723352497278,10.37904487858555,13.92579538190454
6,22.284060947443663,-7.8391217335027825,19.94201735282871,17.553823792674173,30.249293684955408
7,8.245559834019033,-0.3445558073590719,9.965652383063594,7.54739163815551,6.417235295112721
8,3.3126010262689736,4.357542245627543,3.094195338007563,-1.4915323107824021,-10.250467952605174
9,11.87984430067626,-1.5282424046039595,4.912676576904138,2.511466655045933,-7.616109290777475
10,-20.13217679538354,7.987691173508236,2.4853060622987817,3.9537364203644114,-10.391804067122044
11,-18.48190886146312,2.7391913188045436,6.637308369594836,-33.94058369890132,8.25269053202794
12,-49.41860102392105,-41.02000301960625,-17.33498538236084,-8.928950661880275,-1.1557605227662648
