Watershed,2021,2022,2023,2024,2025
1,0.09238897897442853,-9.963467829792634,-1.3352425243969326,0.2027078775968106,1.6016453196377691
2,2.9134122992079616,-7.43493752556415,0.8527408529423267,0.5282443252951116,2.6618826241612945
3,6.075383882225207,-5.434372919857149,3.104471713792937,3.191238750746497,3.965107523142501
9,-2.3135054467685063,-12.59532033040401,-10.10598981450029,-7.580424451020232,-4.883630489860407
10,5.225242113638088,-5.8283790756673985,2.1913486207541655,2.528900342834967,3.683642782172102
Mack,,,,-17.12275635117209,-16.59970370246597
8,,,,0.8786486765435706,4.720753538009798
Lookout,,,,-8.657072005427487,-6.3539938405925005
