month,2021,2022,2023,2024,2025
1,68.27790690223631,105.0352713652436,57.11747607314069,56.4085536701443,147.96905673126776
2,-43.02653564671359,6.961461561057904,-34.99240349597119,-19.558392004876893,-35.68145852877352
3,-7.281836946050703,-18.663603911520767,-39.02489974940365,-14.982111163871064,-24.893964556563347
4,3.620721138314178,-40.375786008924116,-45.51130963250134,-24.92927675473711,-10.544622832769154
5,-6.76633542484471,-18.861813433066494,5.106365715698705,-1.7092696195097727,-0.7547599913454358
6,9.168287101722692,-18.185314688884993,4.961951969317808,0.07954398864258368,10.503516511419205
7,-4.436751941507415,-9.05271789620103,-5.50659961227427,-9.477186232871611,-6.32286427484342
8,-8.677914853464273,-2.04605864287928,-11.624345802191549,-10.071382973680155,-14.025436029049379
9,14.289249422982433,-2.331477095138592,0.5608890379469125,4.963632171379468,-2.3443449947946093
10,-6.617344603076439,-4.292742320285626,-4.779381519131174,-1.2050804822644579,-10.586531863350006
11,-16.15397688647179,-13.514465949534118,-10.261876674531162,-35.194145639221006,5.676410605030554
12,-26.256863639066726,-30.845838206434472,-26.25329553789126,3.6636469958570506,15.72184669058618
