"Unburned_Watershed","Burned_Watershed","R2","n","f","p"
"WS 3","WS 1",0.710867486958902,21,50.1724351220132,9.7239782654391e-07
"WS 3","WS 2",0.775563503189645,21,70.112066371717,8.45736992808246e-08
"WS 10","WS 9",0.61869718438164,21,33.4517501072367,1.42514222759548e-05
"WS 8","MC",0.428584811388703,24,18.2509426742691,0.000310397597798899
