month,2021,2022,2023,2024,2025
1,71.29509799541997,100.52175797878651,53.36976635642541,55.48142189378014,132.48942327451272
2,-42.35978054759789,7.340549405847116,-28.719165064968287,-21.65463150893972,-35.347893183760156
3,5.4929574484583625,-9.800412808540617,-31.52441019831751,0.7322914334200094,-20.83523094239354
4,14.87846538380711,-39.374648614957934,-38.64479882513777,-18.596657274973467,0.17104170127377
5,1.2917772655400939,-16.734682743164456,18.024071056896464,6.573351554650735,11.402875899818358
6,16.220142113689093,-11.621673863603842,15.457545778161673,12.14286374898614,22.777473602238913
7,3.858784319175774,-2.2135717029139452,7.942061953292212,3.5279915237229633,3.0690785148464443
8,-2.096524337084121,3.345887349684566,0.6092791239294906,-4.270138485117891,-8.243130868533816
9,11.130985111226725,-1.5168468677893703,4.3365634209506,5.676614985869368,-5.572762671085734
10,-19.051676424568935,9.508992806942988,7.065123149651563,5.161290748604816,-4.529836361751399
11,-18.36192958085355,-0.9585328832918547,9.815927230314266,-32.71668806970959,12.677367197996775
12,-51.90506164631581,-44.43174084446353,-14.478106800143578,-13.271168694939728,-4.8662825968237655
