gridcode,month,date,mean,stdDev,standard_error,count
0,2020_01,2020-01-01,8.90216693228038,2.0444076372538356,0.07988161648532226,655
1,2020_01,2020-01-01,8.640237174730451,2.4227214092931413,0.018993121855941295,16271
2,2020_01,2020-01-01,8.587870286481497,2.4647120644878915,0.01754121283838064,19743
3,2020_01,2020-01-01,8.461847884222545,2.539866737663681,0.019197393997765322,17504
0,2020_02,2020-02-01,27.439746435584304,3.9887082692385913,0.14823917538063555,724
1,2020_02,2020-02-01,26.49370753225296,4.520826354156424,0.031513391205777896,20580
2,2020_02,2020-02-01,26.88693011220396,4.803008557540617,0.03042622379887178,24919
3,2020_02,2020-02-01,26.096141309048477,4.7815100108225215,0.032365919020244376,21825
0,2020_03,2020-03-01,48.05191435548569,6.439623957623784,0.24356894755112352,699
1,2020_03,2020-03-01,47.219595099497965,7.3364394475116095,0.051763996311468656,20087
2,2020_03,2020-03-01,47.31910042343155,7.868372423754765,0.050459023342100166,24316
3,2020_03,2020-03-01,44.91545252310765,8.069191693767225,0.05524770541164172,21332
0,2020_04,2020-04-01,92.17423414762031,8.562113048169675,0.3261905287250883,689
1,2020_04,2020-04-01,91.07513227115824,9.447338146661856,0.06674272722866782,20036
2,2020_04,2020-04-01,90.44872950815235,9.992668776929328,0.06397543965731357,24397
3,2020_04,2020-04-01,89.76747480347612,10.667145804889225,0.07215111061170068,21858
0,2020_05,2020-05-01,110.35865818629426,9.335643494036713,0.34157333321683564,747
1,2020_05,2020-05-01,110.60291197395797,10.22946237396066,0.06989288037191639,21421
2,2020_05,2020-05-01,109.7664484283068,11.012288562748074,0.06778493814947732,26393
3,2020_05,2020-05-01,109.84853185257353,11.532229310045272,0.07470997430187383,23827
0,2020_06,2020-06-01,118.10440179430951,6.611251454576495,0.2415698706324589,749
1,2020_06,2020-06-01,120.34503294530768,6.514554405734987,0.04450243381637467,21429
2,2020_06,2020-06-01,120.09982338614665,6.736081132736886,0.04145143345482127,26408
3,2020_06,2020-06-01,120.87103203646471,6.491179761116628,0.04203282208042348,23849
0,2020_07,2020-07-01,158.01458388808058,9.664942859597637,0.3531493261607714,749
1,2020_07,2020-07-01,159.66318767505336,10.128378598688796,0.06918284936806199,21433
2,2020_07,2020-07-01,159.19797890670418,10.247434856783258,0.06305427287328748,26412
3,2020_07,2020-07-01,159.65945795468346,10.08248870359547,0.065286524901194,23850
0,2020_08,2020-08-01,139.73085352614618,12.87284006006835,0.4703633388245172,749
1,2020_08,2020-08-01,142.35795187975606,12.670495467797927,0.08654701942923589,21433
2,2020_08,2020-08-01,143.24672970502627,12.552567209157742,0.07723815853706907,26412
3,2020_08,2020-08-01,143.0484772153333,11.648634840032345,0.07542769557257126,23850
0,2020_09,2020-09-01,79.91622457548988,10.459565860927366,0.3821842187150276,749
1,2020_09,2020-09-01,82.10815489350284,9.283865392175366,0.06341432191954013,21433
2,2020_09,2020-09-01,82.25981590976579,9.261900322626524,0.056990105175589736,26412
3,2020_09,2020-09-01,83.16017580397927,8.974070174484634,0.05810924992185942,23850
0,2020_10,2020-10-01,51.615370434853745,6.553552471880685,0.23946159568917222,749
1,2020_10,2020-10-01,49.211620332725445,7.11302908914425,0.04858621893227968,21433
2,2020_10,2020-10-01,49.581982864272476,7.135966126425911,0.043908857351979226,26412
3,2020_10,2020-10-01,47.52489918822116,6.790046161108299,0.04396717227358471,23850
0,2020_11,2020-11-01,19.946541203541965,2.9959029804960364,0.10968780134912759,746
1,2020_11,2020-11-01,18.230012760309346,3.324198263782512,0.022750344565354897,21350
2,2020_11,2020-11-01,18.166258653435122,3.379430267857731,0.02086664477966101,26229
3,2020_11,2020-11-01,16.986297529898312,3.552845676438943,0.02313293747802408,23588
0,2020_12,2020-12-01,16.246328139945135,3.797670628680577,0.14143264499632402,721
1,2020_12,2020-12-01,14.4572024386191,4.188875492279424,0.0290627956462873,20774
2,2020_12,2020-12-01,14.731754993050533,4.015176215612663,0.02527268193558983,25241
3,2020_12,2020-12-01,14.863515083676635,4.303176173272347,0.02913877233986018,21809
0,2021_01,2021-01-01,17.0581153044686,2.8036214029742235,0.10348355429646737,734
1,2021_01,2021-01-01,15.727708182338372,3.4657891631153377,0.0237992089082444,21207
2,2021_01,2021-01-01,15.75966241988923,3.5710571659874986,0.022153147642306508,25985
3,2021_01,2021-01-01,15.355361534605274,3.907099465652822,0.02563810702113091,23224
0,2021_02,2021-02-01,17.299576615489848,2.663037142748677,0.09938366348535481,718
