WATERYEAR,GSLOOK,GSWSMC,GSWS01,GSWS02,GSWS03,GSWS08,GSWS09,GSWS10
1950,6.341253448000001e-06,,,,,,,
1951,4.5919421520000005e-06,,,,,,,
1952,6.778581272000001e-06,,,,,,,
1953,4.045282372000001e-06,,1.5525137752000002e-06,1.4869146016000005e-06,1.7739109861000004e-06,,,
1954,6.778581272000001e-06,,1.9679752080000003e-06,2.9481361935400005e-06,3.4980759322200007e-06,,,
1955,7.325241052000002e-06,,2.0335743816000005e-06,2.3500903942200014e-06,3.4428632944400007e-06,,,
1956,4.045282372000001e-06,,1.7274449048000002e-06,3.1159607460000004e-06,3.553288570000001e-06,,,
1957,7.576704550800001e-06,,1.6033531347400004e-06,3.471836262780001e-06,4.772886539180001e-06,,,
1958,6.302987263400001e-06,,1.3010502764000005e-06,1.9898415992000004e-06,2.2954244162200004e-06,,,
1959,5.7945936680000016e-06,,1.4759814060000002e-06,2.9076833698200006e-06,3.5603951471400007e-06,,,
1960,5.761794081200001e-06,,1.6618457312000002e-06,3.2690254844000004e-06,3.553288570000001e-06,,,
1961,4.91993802e-06,,1.2463842984e-06,2.0980802356400006e-06,3.4002238316000003e-06,,,
1962,5.903925624000001e-06,,2.1975723156000004e-06,1.6268595052800005e-06,2.547434574800001e-06,,,
1963,5.537663571400002e-06,,3.1547735903800006e-06,1.4869146016000005e-06,3.37726412084e-06,,,
1964,5.903925624000001e-06,,3.1815599196e-06,1.3666494500000002e-06,2.9738292032000005e-06,1.6334194226400001e-06,,
1965,5.029269976000001e-06,,2.7114325088000004e-06,9.648545117000002e-07,2.7398588173600007e-06,5.821926657000002e-07,,
1966,3.717286504000001e-06,,1.8586432520000005e-06,2.2959710760000006e-07,2.2593448707400006e-06,4.991003791400002e-07,,
1967,4.5919421520000005e-06,,1.93134900274e-06,1.5481404969600002e-06,2.8316976604000006e-06,3.241692495400001e-07,,
1968,6.647382924800001e-06,,3.23403925848e-06,2.3845299603600005e-06,5.244653929320001e-06,2.428262742760001e-06,,
1969,6.778581272000001e-06,,2.1828125015400005e-06,3.2362258976000003e-06,5.320092978960001e-06,1.6055397738600003e-06,4.810606064000001e-07,1.4541150148000002e-06
1970,4.225680099400001e-06,,7.904700418800002e-07,1.2851971427800005e-06,3.553288570000001e-06,7.068310955400001e-07,6.773114674200002e-07,1.0381069222200003e-06
1971,6.778581272000001e-06,,1.23490444302e-06,1.6908186995400004e-06,3.992803033120001e-06,1.4787147049000006e-06,7.325241052000001e-07,1.6727789268000005e-06
1972,5.903925624000001e-06,,8.932420805200001e-07,1.1917183204000002e-06,4.165547523600001e-06,3.1378271372e-07,9.118285130400001e-07,1.3557162544000002e-06
1973,4.5919421520000005e-06,,4.952737606800001e-07,9.254950075400001e-07,3.706353308400001e-06,5.466597800000001e-07,1.05997331342e-06,9.839876040000002e-07
1974,4.5919421520000005e-06,,7.325241052000001e-07,2.0516141543400006e-06,3.4002238316000003e-06,3.679020319400001e-07,3.461996386740001e-06,1.1026127762600004e-06
1975,5.466597800000001e-06,,7.396306823400002e-07,1.6071797532000003e-06,2.2741046848e-06,6.811380858800001e-07,3.3247847819600005e-06,2.1494662549600006e-06
1976,5.903925624000001e-06,,7.871900832000001e-07,1.6826188028400003e-06,3.1815599196e-06,1.11081267296e-06,3.5642217656000006e-06,4.57772899772e-06
1977,4.482610196000001e-06,,7.079244151000006e-07,1.6727789268000005e-06,2.9738292032000005e-06,9.834409442200001e-07,1.6651256898800004e-06,2.2735580250200004e-06
1978,7.2159090960000015e-06,,1.4125688715200004e-06,3.0126420475800006e-06,3.7560993483800002e-06,2.928456441460001e-06,4.113068184720001e-06,3.2067062694800008e-06
1979,5.029269976000001e-06,,6.182722111800003e-07,1.7274449048000002e-06,2.0117079904000004e-06,6.302987263400001e-07,3.570781682960001e-06,1.8586432520000005e-06
1980,5.772727276800001e-06,7.7953684628e-06,6.603650142400001e-07,2.3943698364000005e-06,2.7354855391200005e-06,1.0146005516800004e-06,3.8156852644e-06,7.314307856400001e-07
1981,2.984762398800001e-06,7.470652553480002e-06,3.717286504000001e-07,3.1924931152000006e-06,3.2580922888000003e-06,1.0927729002200002e-06,4.274879479600001e-06,2.0297477631400005e-06
